Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-12-26,72819.84375,72914.90882016972,71964.25811847259,72344.51839915144,13164909
2023-12-27,74501.8671875,74501.8671875,73069.13897235577,73260.16940104167,20651042
2023-12-28,74979.4453125,74979.4453125,74024.29314291402,74215.32357683122,17797536
2024-01-02,76030.109375,76221.13980056533,74692.89639604272,74692.89639604272,17142847
2024-01-03,73546.7109375,75265.98469967533,73546.7109375,74979.43907264611,21753644
2024-01-04,73164.6484375,73833.25488536227,72687.07240331266,72687.07240331266,15324439
2024-01-05,73164.6484375,73642.22447168734,72973.61802382507,73260.16364433746,11304316
2024-01-08,73069.140625,74024.29279003268,72973.62540849674,73546.71670751635,11088724
2024-01-09,71349.8671875,74215.32370105422,70967.8063190261,73928.7780496988,26019249
2024-01-10,70299.2109375,71827.45465353261,69917.15000849185,71636.42418902853,20259529
2024-01-11,69917.140625,70299.20150273223,69439.5645278347,69630.59496670081,57691266
2024-01-12,69821.6171875,70776.76926940835,69535.0715629275,69726.10197930917,13038939
2024-01-15,70585.7421875,70681.25740020297,69917.13569857916,69917.13569857916,2957915
2024-01-16,69344.046875,70394.71425189394,69248.53165891873,70203.6838197314,14760415
2024-01-17,67815.796875,70012.64663292254,67815.796875,69821.61621919014,22683660
2024-01-18,68484.40625,68770.95188284518,67529.25414051603,68388.8910390516,17853397
2024-01-19,71349.8671875,71349.8671875,69726.10849648595,70203.6845820783,23363427
2024-01-22,71731.9296875,72591.56666111852,71636.41446820906,72496.05144182757,19673375
2024-01-23,71827.4375,72400.52875664893,70967.80061502659,72305.01354720745,14786224
2024-01-24,70681.2578125,71827.44037162162,70203.68174619932,71827.44037162162,12860661
2024-01-25,70776.78125,71445.38782051283,70394.72035256411,70872.29647435897,11737747
2024-01-26,70108.1640625,71158.83137133856,70012.64885260558,70394.70969218324,11160062
2024-01-29,71063.3203125,71827.44203629033,70203.6833732359,70490.22901965726,13976521
2024-01-30,70967.8046875,71922.95683672611,70394.71339796434,71636.41119195828,12244418
2024-01-31,69439.5625,70681.26031636864,69248.53206671252,70108.16901650619,15703560
2024-02-01,70299.2109375,70872.30233101222,69630.60431173573,69726.11954398776,19881033
2024-02-02,71827.4375,71827.4375,70394.70935837766,70681.25498670213,14955881
2024-02-05,70967.8046875,71445.38076211305,70203.68296811912,70872.2894725774,19026021
2024-02-06,71063.3203125,71349.86595892138,70012.6529422883,70967.80509702621,14559254
2024-02-07,71636.4140625,72113.99015625,70967.80753125,71254.3531875,16566445
2024-02-08,70776.78125,71827.44871794872,70299.20512820513,71636.41826923077,20810708
2024-02-13,71827.4375,71827.4375,71063.31582446808,71445.37666223403,21966745
2024-02-14,70681.2578125,70967.80345228041,70394.71217271959,70394.71217271959,12434945
2024-02-15,69917.140625,71063.32325819672,69726.11018613388,70872.2928193306,14120600
2024-02-16,69535.0859375,70108.17730511677,69248.54025369162,70012.66207718063,13444781
2024-02-19,70490.234375,70585.74959773035,69535.08214769648,69535.08214769648,12726404
2024-02-20,70012.640625,70394.7014196794,69535.06463165075,70394.7014196794,14681477
2024-02-21,69726.1015625,70394.70801583905,69630.58635488014,70108.16239297946,11503495
2024-02-22,69821.6171875,70585.73885302668,69439.55635473666,70490.22364483585,15208934
2024-02-23,69630.609375,70872.30748456791,69630.609375,70299.21604938271,16225166
2024-02-26,69535.0859375,69917.14684924451,68961.99456988325,69057.50979781937,14669352
2024-02-27,69630.609375,70108.18557098765,69439.57889660494,69821.63985339506,13201981
